song_text,processed_text
"ДДТ - что такое осень
[Куплет 1]
Что такое осень? Это небо
Плачущее небо под ногами
В лужах разлетаются, птицы с облаками
Осенью, я давно с тобою не был
В лужах разлетаются, птицы с облаками
Осенью, я давно с тобою не был

[Припев]
Осень, в небе жгут корабли
Осень, мне бы прочь от земли
Там, где в море тонет печаль
Осень — темная даль

[Куплет 2]
Что такое осень? Это камни
Верность над черной Невою
Осенью вновь напомнила
Душе о самой главной
Осенью, я опять лишён воскресенья,
вновь напомнила
Душе о самой главной
Осенью, я опять лишён атмосфере",ддт осень куплет осень это небо плакать небо нога лужа разлетаться птица облако осень давно лужа разлетаться птица облако осень давно припев осень небо жечь корабль осень прочь земля море тонуть печаль осень темный даль куплет осень это камень верность черный нева осень вновь напомнить душа главный осень лишить воскресение вновь напомнить душа главный осень лишить атмосфера
"ДДТ - метель
[Куплет 1]
Коронована луной
Как начало — высокая
Как победа — не со мной
Как надежда — нелегка
За окном стеной метель
Жизнь по горло за нос
Сорвало финал с петель
Да поела всё тепло

[Припев]
Играй, как сыграй
Закрой глаза и вернись
Не пропади, но растай
Да колее поклонись
Мое окно отогрей
Пусти по по лю
Не доживи, но созрей
Ты будешь вечно со мной
Ты будешь вечно со мной
Ты будешь вечно со мной
Со мной...

[Куплет 2]
Ищут землю фонари
К небу тянется свеча
На снегу следы зари —
Крылья падала
полученный же, вьюга, наливай
Выпьем время натощак
Я спою, ты в такт пролай
О затерянных вещах",ддт метель куплет короновать луна начало высокий победа надежда нелегкий окно стена метель жизнь горло нос сорвать финал петля поесть весь тепло припев играй сыграй закрыть глаз вернуться пропасть растаять колея поклониться окно отогреть пустить дожить созрей вечно вечно вечно куплет искать земля фонарь небо тянуться свеча снег след заря крыло падать получить вьюга наливать выпьем время натощак спеть такт пролаять затерянный вещь
"ДДТ - Осенняя

[Куплет 1]
Небеса на коне на осеннем параде
Месят тесто из тех, кто представлен к награде
А по ящику врут о войне…
Я живу на весах в этом качестве года
Моя песня, конечно, дождливого рода
Моя песня не спета
И не одета
Моя песня — ответ письмам Анны и Лизы;
Брызги ветер висят на промокших карнизах
Собрала их губы весной
И исчезла она

[Куплет 2]
Я с бедой на плечах доползу до дороги
Умереть — если немного Нас
Но препятствия уйти от тебя
Наше «Я»
Где опасность бред, там живые могилы
за веру их лет поднимаются на вилы
Этой осенью платим за свет
Пляшем на виражах, поворотами веков
И никому нет конца, даже тем, кто не с мы
Наша песня с тобой в облаках
И пока ничего, ничего не случилось
Я вчера еще помнил, что жизнь ко мне приснилась
Этой осенью стала она…

[Припев]
И если вокруг — одно лихо
И если кругом слишком тонко
Люби всех нас, Господи, тихо
Люби всех нас, Господи, громко

[Бридж]
Иногда наша жизнь за продолжение цветов
Это значит, мой друг, Он прошёл между нами…
Но увидеть его осторожно

[Припев]
И если вокруг — одно лихо
И привычное нам слишком тонко
Люби всех нас, Господи, тихо
Люби всех нас, Господи, громко
Люби всех нас, Господи, тихо
Люби всех нас, Господи…",ддт осенний куплет небо кон осенний парад месить тесто представить награда ящик врать война жить вес это качество год песня дождливый род песня спеть одеть песня ответ письмо анна лиза брызги ветер висеть промокнуть карниз собрать губа весна исчезнуть куплет беда плечо доползти дорога умереть немного препятствие уйти наш опасность бред живой могила вера год подниматься вилы осень платить свет плясать вираж поворот век никто конец наш песня облако пока ничто ничто случиться вчера помнить жизнь приснилась осень стать припев вокруг лихой кругом слишком тонко любить весь господь тихо любить весь господь громко бридж наш жизнь продолжение цвет это значить друг пройти увидеть осторожно припев вокруг лихой привычный слишком тонко любить весь господь тихо любить весь господь громко любить весь господь тихо любить весь господи
"Сплин - Выхода нет


[Куплет 1]
Сколько лет прошло, всё о том же гудят провода
Всё того же ждут самолёты
Девочка с глазами из самого синего льда
Тает под огнём пулемёта
Должен же растаять хоть кто-то

[Припев]
Скоро рассвет
Выхода нет
Ключ поверни и полетели
Нужно вписать
В чью-то тетрадь
Кровью, как в метрополитене:
«Выхода нет»
Выхода нет

[Куплет 2]
Где-то мы расстались — не помню в каких городах
Словно это было в похмелье
Через мои песни идут и идут поезда
Исчезая в тёмном тоннеле
Лишь бы мы проснулись в одной постели
See Сплин (Splean) Live
Get tickets as low as $135
You might also like
SAVE DAT
Toxi$ & Егор Крид (Egor Kreed)
GoodDayFlopTray
DJ Stonik1917
So Long, London
Taylor Swift
[Припев]
Скоро рассвет
Выхода нет
Ключ поверни и полетели
Нужно вписать
В чью-то тетрадь
Кровью, как в метрополитене:
«Выхода нет»
Выхода нет

[Куплет 3]
Сколько лет пройдёт, всё о том же гудеть проводам
Всё того же ждать самолётам
Девочка с глазами из самого синего льда
Тает под огнём пулемёта
Лишь бы мы проснулись с тобой в одной постели

[Припев]
Скоро рассвет
Выхода нет
Ключ поверни и полетели
Нужно вписать
В чью-то тетрадь
Кровью, как в метрополитене:
«Выхода нет»
Выхода нет
Выхода нет
Выхода нет",сплин выход куплет сколько год пройти весь гудеть провод весь ждать самолет девочка глаз синий лед таять огонь пулемет должный растаять припев скоро рассвет выход ключ повернуть полететь нужный вписать чей тетрадь кровь метрополитен выход выход куплет расстаться помнить город словно это похмелие песня идти идти поезд исчезая темный тоннель лишь проснуться постель сплин егор крид припев скоро рассвет выход ключ повернуть полететь нужный вписать чей тетрадь кровь метрополитен выход выход куплет сколько год пройти весь гудеть проводы ждать самолет девочка глаз синий лед таять огонь пулемет лишь проснуться постель припев скоро рассвет выход ключ повернуть полететь нужный вписать чей тетрадь кровь метрополитен выход выход выход выход
"Сплин - Моё сердце

[Куплет 1]
Мы не знали друг друга до этого лета
Мы болтались по свету, земле и воде
И совершенно случайно мы взяли билеты
На соседние кресла на большой высоте

[Припев]
И моё сердце остановилось
Моё сердце замерло
Моё сердце остановилось
Моё сердце замерло

[Куплет 2]
И ровно тысячу лет мы просыпаемся вместе
Даже если уснули в разных местах
Мы идём ставить кофе под Элвиса Пресли
Кофе сбежал под Propellerheads, ах!

[Припев]
И моё сердце остановилось
Моё сердце замерло
Моё сердце остановилось
Моё сердце замерло

[Куплет 3]
И, может быть, ты не стала звездой в Голливуде
Не выходишь на подиум в нижнем белье
У тебя не берут автографы люди
И поёшь ты чуть тише, чем Монсеррат Кабалье
Ну так и я, слава Богу, не Рики, не Мартин
Не выдвигался на Оскар, французам не забивал
Моим именем не назван город на карте
Но задёрнуты шторы и разложен диван

[Припев]
И моё сердце остановилось
Моё сердце замерло
Моё сердце остановилось
Моё сердце замерло

[Гитарное соло]

[Куплет 4]
Я наяву вижу то, что многим даже не снилось
Не являлось под кайфом, не стучалось в стекло
Моё сердце остановилось
Отдышалось немного и снова пошло

[Припев]
И моё сердце остановилось
Моё сердце замерло
И моё сердце остановилось
Моё сердце замерло
И, моё сердце, hasta la vista
Моё сердце замерло
Моё сердце остановилось
Моё сердце замерло",сплин сердце куплет знать друг друг это лето болтаться свет земля вода совершенно случайно взять билет соседний кресло большой высота припев сердце остановиться сердце замереть сердце остановиться сердце замереть куплет ровно тысяча год просыпаться вместе уснуть разный место идти ставить кофе элвис пресли кофе сбежать припев сердце остановиться сердце замереть сердце остановиться сердце замереть куплет мочь стать звезда голливуд выходить подиум нижний белье брать автограф человек петь тихий монсеррат кабалье слава бог рик мартин выдвигаться оскар француз забивать имя назвать город карта задернуть штора разложить диван припев сердце остановиться сердце замереть сердце остановиться сердце замереть гитарный соло куплет наяву видеть многий сниться являться кайф стучаться стекло сердце остановиться отдышаться немного снова пойти припев сердце остановиться сердце замереть сердце остановиться сердце замереть сердце сердце замереть сердце остановиться сердце замереть
"Сплин - Романс 

[Куплет 1]
И лампа не горит
И врут календари
И если ты давно хотела что-то мне сказать, то говори
Любой обманчив звук
Страшнее тишина
Когда в самый разгар веселья падает из рук бокал вина
И черный кабинет
И ждет в стволе патрон
Так тихо, что я слышу, как идет на глубине вагон метро

[Куплет 2]
На площади полки
Темно в конце строки
И в телефонной трубке, эти много лет спустя, одни гудки
И где-то хлопнет дверь
И дрогнут провода
«Привет!»
Мы будем счастливы теперь и навсегда
«Привет!»
Мы будем счастливы теперь и навсегда",сплин романс куплет лампа гореть врать календарь давно хотеть сказать говорить любой обманчив звук страшнее тишина самый разгар веселие падать рука бокал вино черный кабинет ждать ствол патрон тихий слышать идти глубина вагон метро куплет площадь полок темный конец строка телефонный трубка год спустя гудок хлопнуть дверь дрогнуть провод привет счастливый навсегда привет счастливый навсегда
"Сплин - Передайте это Гарри Поттеру, если вдруг его встретите
[Куплет 1]
Гарри, привет, как дела, приятель
Надеюсь, что ты там еще не спятил
Низкий поклон от всей нашей братии
С этих глухих болот
Нас окружают сплошные маглы
И рожи у них такие злые и наглые
А ты как всегда торчишь в своей Англии
На остальное задвинув болт

[Куплет 2]
Гарри, скорей прилетай, ты нужен
А то нерушимый совсем разрушен
Из всех проплешин, из всех проушин
Они выкачивают нефть и газ
По воле бога и согласно плану
Скоро нас всех поведут на плаху
Ты захвати волшебную палку
Чтобы двинуть им между глаз

[Припев]
Гарри, всё это не очень нормально
Жизнь как качели — то вира, то майна
Так что дружище, биткоины майня
Не забывай про нас
Не забывай, почувствуй, волшебник
То, как на шею давит ошейник
Не забывай нас, ты слышишь, отшельник
Иногда покидай Парнас",сплин передать это гарри поттер встретить куплет гарри привет дело приятель надеяться спятить низкий поклон весь наш братия глухой болото окружать сплошной магл рожа злой наглый торчать свой англия остальной задвинув болт куплет гарри скорый прилетать нужный нерушимый разрушить весь проплешина весь проушина выкачивать нефть газ воля бог согласно план скоро весь повести плаха захватить волшебный палка двинуть глаз припев гарри весь это очень нормально жизнь качели вира майна дружище биткоина майня забывать забывать почувствуй волшебник шея давить ошейник забывать слышать отшельник покидать парнас
"Сплин - Орбит без сахара
[Куплет 1]
Все таблетки подъедены
Марки тоже наклеены
Тишина в холодильнике
На дачу смылись родители

[Припев]
Она жуёт свой Орбит без сахара
И вспоминает тех, о ком плакала
Она жуёт свой Орбит без сахара
И ненавидит тех, о ком плакала

[Куплет 2]
Автоответчик пишет послания
CD поставлен на паузу
Родригез будет жить ещё долго
А Дюк Нюкем должен умереть

[Припев]
Она жуёт свой Орбит без сахара
И ненавидит тех, о ком плакала
Она жуёт свой Орбит без сахара
И вспоминает тех, о ком плакала

[Куплет 3]
Она ходила голой на лестницу
Ходила голой на улицу
Она хотела даже повеситься
Но институт, экзамены, сессия

[Припев]
Она жуёт свой Орбит без сахара
И вспоминает тех, о ком плакала
Она жуёт свой Орбит без сахара
И ненавидит тех, о ком плакала
А ты жуй-жуй свой Орбит без сахара
И вспоминай всех тех, кого…
А ты жуй-жуй свой Орбит без сахара
И ненавидь всех тех, кого…",сплин орбита сахар куплет весь таблетка подъедены марка наклеить тишина холодильник дача смыться родитель припев жевать свой орбита сахар вспоминать кома плакать жевать свой орбита сахар ненавидеть плакать куплет автоответчик писать послание поставить пауза родригеза жить долго дюк нюкем должный умереть припев жевать свой орбита сахар ненавидеть плакать жевать свой орбита сахар вспоминать плакать куплет ходить голый лестница ходить голый улица хотеть повеситься институт экзамен сессия припев жевать свой орбита сахар вспоминать кома плакать жевать свой орбита сахар ненавидеть плакать жевать жевать свой орбита сахар вспоминать весь жевать жевать свой орбита сахар ненавидеть весь
"Сплин - Танцуй! 

[Куплет 1]
Волна бежит на этот берег
Волна бежит и что-то бредит
И звёзды падают за ворот
И ковш на небе перевёрнут
И в голове смешались мысли
И босиком с бутылкой виски
Мы изучаем этот берег
Волна бежит и что-то бредит
Вокруг вода, песок и камни
И время меряя глотками
И всех вокруг как ветром сдуло
Нас как магнитом притянуло
Друг к другу, и теперь на берег
Волна бежит и что-то бредит
И звёзды падают за ворот
И ковш на небе перевёрнут

[Припев]
Ещё глоток, и мы горим
На раз, два, три
Потом не жди и не тоскуй
Гори огнём твой третий Рим
Лови мой ритм
Танцуй, танцуй, танцуй, танцуй, танцуй, танцуй

[Куплет 2]
Мы странно оказались рядом
Приняв одну микстуру с ядом
Теперь мы принимаем виски
И в голове смешались мысли
Вокруг вода, песок и камни
И время меряя глотками
Мы изучаем этот берег
Волна бежит и что-то бредит
Хочу уснуть и не проснуться
Уйти в моря и не вернуться
Или вернуться, только вместе
С тобой так много интересней
С тобой так много интересного
Вокруг совсем не тесно
Без площадей, вокзалов, станций
Без этих всех цивилизаций

[Припев]
Ещё глоток, и мы горим
На раз, два, три
Потом не жди и не тоскуй
Гори огнём твой третий Рим
Лови мой ритм
Танцуй, танцуй, танцуй, танцуй, танцуй, танцуй",сплин танцевать куплет волна бежать берег волна бежать бредить звезда падать ворота ковш небо перевернуть голова смешаться мысль босиком бутылка виски изучать берег волна бежать бредить вокруг вода песок камень время меряя глотка весь вокруг ветер сдуть магнит притянуть друг друг берег волна бежать бредить звезда падать ворота ковш небо перевернуть припев глоток гореть ждать тосковать гори огонь твой третий рим ловить ритм танцевать танцуй танцуй танцуй танцуй танцуй куплет странно оказаться рядом принять микстура принимать виски голова смешаться мысль вокруг вода песок камень время меряя глотка изучать берег волна бежать бредить хотеть уснуть проснуться уйти море вернуться вернуться вместе интересней интересный вокруг тесно площадь вокзал станция весь цивилизация припев глоток гореть ждать тосковать гори огонь твой третий рим ловить ритм танцевать танцуй танцуй танцуй танцуй танцуй
"Земфира - ИСКАЛА 

[Куплет 1]
Я искала тебя годами долгими
Искала тебя дворами тёмными
В журналах, в кино, среди друзей
В день, когда нашла, с ума сошла

[Припев]
Ты совсем как во сне
Совсем как в альбомах
Где я рисовала тебя гуашью

[Куплет 2]
Дальше были звонки ночные больше
Слёзы, нервы, любовь и стрелки в Польше
Веки, но не мои, и старые зазнобы
Куришь каждые пять, мы устали оба

[Припев]
Ты совсем как во сне
Совсем как в альбомах
Где я рисовала тебя гуашью

[Бридж]
Годами долгими
Ночами тёмными
Годами долгими

[Припев]
Ты совсем как во сне
Совсем как в альбомах
Где я рисовала тебя гуашью
Ты совсем как во сне
Совсем как в альбомах
Где я рисовала тебя гуашью

[Аутро]
Я искала тебя годами долгими
Искала тебя дворами тёмными
В журналах, в кино годами долгими
Искала тебя ночами-чами-чами
Чами-чами-чами-чами
Чами-чами-чами-чами
Чами-чами-чами-чами
Чами-чами-чами-чами
Чами-чами-чами-чами
Чами-чами-чами-чами
Чами-чами-чами-чами
Чами-чами-чами",земфира искать куплет искать годами долгий искать двор темный журнал кино среди друг день найти сойти припев сон альбом рисовать гуашь куплет далекий звонок ночное большой слеза нерв любовь стрелка польша веко старый зазноба куришь каждый пять устать оба припев сон альбом рисовать гуашь бридж год долгий ночь темный год долгий припев сон альбом рисовать гуашью сон альбом рисовать гуашь аутро искать годами долгий искать двор темный журнал кино год долгий искать ночами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами чами
